region,year,min,nominal,max
SGP,2007,510.0,590.0,670.0
SVK,2007,,,
SVN,2007,,,
TLS,2007,,,
TGO,2007,7000.0,8600.0,10000.0
TTO,2007,560.0,680.0,780.0
TUN,2007,,,530.0
ZMB,2007,53000.0,62000.0,75000.0
ZWE,2007,55000.0,78000.0,110000.0
AFG,2008,,600.0,1500.0
ALB,2008,,,
BLZ,2008,,,
BEN,2008,2500.0,5200.0,10000.0
BTN,2008,,,
BOL,2008,840.0,1100.0,1400.0
TCD,2008,6500.0,8300.0,9900.0
CHL,2008,2200.0,2500.0,3000.0
CHN,2008,,,
COL,2008,6500.0,9200.0,12000.0
ECU,2008,1800.0,2700.0,5200.0
EGY,2008,,660.0,1100.0
SLV,2008,1700.0,2000.0,2400.0
GNQ,2008,2600.0,3200.0,4000.0
GTM,2008,1700.0,2400.0,3400.0
GIN,2008,6300.0,7700.0,9400.0
GLOBAL,1996,2000000.0,2700000.0,3700000.0
GLOBAL,1997,2000000.0,2800000.0,3700000.0
GLOBAL,1998,2000000.0,2800000.0,3700000.0
GLOBAL,1999,2000000.0,2800000.0,3700000.0
GLOBAL,2000,2000000.0,2700000.0,3700000.0
GLOBAL,2013,1400000.0,2000000.0,2600000.0
GLOBAL,2014,1400000.0,1900000.0,2600000.0
GLOBAL,2015,1400000.0,1900000.0,2500000.0
GLOBAL,2016,1300000.0,1800000.0,2400000.0
,2000,1500000.0,1900000.0,2700000.0
